block_size,tokens_per_step,n,repeat4,boxed,correct,progress,redundancy,coverage,n_tokens,boxed_easy,boxed_medium,boxed_hard,correct_easy,correct_medium,correct_hard,stop_box,stop_eos,stop_collapse,stop_budget,seconds
16,1,40,0.15160292906309097,0.7,0.425,0.01285714285714285,0.2521329033974514,0.4548144025448869,562.8,0.75,0.7,0.6,0.55,0.3,0.3,0.7,0.025,0.0,0.275,791.4776263237
16,2,40,0.18050024415772886,0.675,0.375,-0.03046183070732459,0.2932738426387447,0.4432611511537032,526.8,0.75,0.7,0.5,0.55,0.2,0.2,0.675,0.075,0.0,0.25,366.9530551433563
16,4,40,0.4032325820370568,0.3,0.2,-0.30746747637039507,0.34060780404767943,0.3851870774982757,580.0,0.4,0.2,0.2,0.35,0.1,0.0,0.3,0.1,0.1,0.5,214.0327866077423
16,8,40,0.5792026760416829,0.0,0.0,-0.492720924195334,0.2481713172182983,0.3482254940921637,554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.5,0.425,102.95350885391235
16,16,40,0.6843936531449764,0.0,0.0,-0.45355375220231436,0.4244483818143021,0.20675845285787794,422.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.375,39.223984241485596
32,1,40,0.16094954703300454,0.675,0.375,-0.1471428571428572,0.2579294738812724,0.446277645771869,567.2,0.8,0.6,0.5,0.55,0.2,0.2,0.675,0.025,0.0,0.3,814.8170597553253
32,2,40,0.15553736948285782,0.525,0.25,-0.12571428571428575,0.2696624802035764,0.4332773023486469,550.4,0.6,0.7,0.2,0.5,0.0,0.0,0.525,0.1,0.0,0.375,395.7543783187866
32,4,40,0.267985735313953,0.3,0.15,-0.24821531390183757,0.3062532995183986,0.38471876249917275,560.0,0.55,0.1,0.0,0.3,0.0,0.0,0.3,0.1,0.05,0.55,210.89541149139404
32,8,40,0.3858866334641906,0.025,0.0,-0.48185231494559805,0.2502893757989702,0.31428074461563216,615.2,0.05,0.0,0.0,0.0,0.0,0.0,0.025,0.1,0.275,0.6,118.47529983520508
32,16,40,0.5904619900600354,0.0,0.0,-0.5555138923098173,0.36460478675006724,0.2564703054124703,474.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.625,0.35,42.957993507385254
