block_size,tokens_per_step,problem_idx,tier,n_tokens,stop,repeat4,boxed,correct,progress,redundancy,coverage
16,1,0,easy,736,box,0.25773195876288657,1,1,-0.08571428571428573,0.33911036875709744,0.5769216749660098
16,1,1,easy,384,box,0.13157894736842102,1,1,-0.7142857142857143,0.36572552688645293,0.6762387894607519
16,1,2,easy,512,box,0.20274914089347074,1,1,0.2571428571428572,0.27199457534076926,0.5436147502333666
16,1,3,easy,768,budget,0.3319919517102615,0,0,0.6,0.3806558977546412,0.4153100508741781
16,1,4,easy,768,budget,0.11969111969111967,0,0,-0.8285714285714287,0.38270460144795726,0.48713314413361003
16,1,5,easy,768,budget,0.0892857142857143,0,0,0.7142857142857143,0.21813470223361886,0.4307774641935721
16,1,6,easy,768,budget,0.20643431635388743,0,0,0.08571428571428573,0.2399332158070892,0.4538184770769641
16,1,7,easy,368,box,0.035532994923857864,1,1,0.48571428571428577,0.21801047791471048,0.5294483632547832
16,1,8,easy,336,box,0.05464480874316935,1,1,0.3714285714285715,0.15013530749087922,0.56382475905802
16,1,9,easy,528,box,0.20952380952380956,1,0,0.4285714285714286,0.2042280748282736,0.47264135804695157
16,1,10,easy,608,box,0.22248803827751196,1,0,-0.6,0.37502919980456556,0.45396957540528105
16,1,11,easy,240,box,0.03539823008849563,1,1,0.14285714285714288,0.10594399608277788,0.2986170198185904
16,1,12,easy,368,box,0.014705882352941124,1,1,-0.6571428571428573,0.09398112734657411,0.519805653319482
16,1,13,easy,432,box,0.053497942386831254,1,0,0.8285714285714287,0.11894723120511651,0.3359123712996062
16,1,14,easy,224,box,0.12048192771084343,1,0,0.6571428571428573,0.20893643587251573,0.5079363692631188
16,1,15,easy,400,box,0.06818181818181823,1,1,-0.5428571428571429,0.29684333451413847,0.4200056512639624
16,1,16,easy,240,box,0.06299212598425197,1,1,0.14285714285714288,0.08554409496860702,0.5308281635213035
16,1,17,easy,240,box,0.12727272727272732,1,1,0.4285714285714286,0.21330057069538172,0.556664915233834
16,1,18,easy,544,box,0.14876033057851235,1,1,0.028571428571428574,0.12840491242555335,0.5115513146558291
16,1,19,easy,768,budget,0.3545454545454545,0,0,-0.8285714285714287,0.4846150308108544,0.31729233768590487
16,1,20,medium,736,box,0.09383378016085786,1,1,-0.7142857142857143,0.188732529722649,0.48933409390312754
16,1,21,medium,720,box,0.18936170212765957,1,1,-0.6,0.288053988671878,0.4108618589915125
16,1,22,medium,400,box,0.1512605042016807,1,0,0.14285714285714288,0.20424934160748068,0.411287183115023
16,1,23,medium,416,box,0.23921568627450984,1,0,-0.08571428571428573,0.22898111130592472,0.36664255671586443
16,1,24,medium,464,box,0.18220338983050843,1,0,-0.4285714285714286,0.25462151203465994,0.29118771582447517
